Status,Date,Start_Time,End_Time,Duration,Alert,Reason,Issue,Comment,id,equipment_name,created_at
INACTIVE,17-09-2025,20:06:37,20:08:12,2,Yes,-,-,-,0006021f-c730-4533-9ac1-2e3679eb9540,IMA E06,2025-10-01 03:24:29.576452+00
INACTIVE,20-09-2025,17:49:13,17:50:18,1,No,-,-,-,002f00b4-b1b9-45a2-b5c8-8fa581e56772,IMA E06,2025-10-01 03:24:30.866611+00
ACTIVE,23-09-2025,08:50:48,08:52:48,2,No,-,-,-,00350f4b-5fd1-4160-a2cb-5e020148c1e0,IMA E06,2025-10-01 03:24:31.310218+00
ACTIVE,18-09-2025,09:28:56,09:48:56,20,No,-,-,-,003889e4-11ec-4cd6-957b-9d3456a5d405,IMA T19,2025-10-01 03:24:23.397716+00
INACTIVE,26-09-2025,21:09:28,21:10:58,2,Yes,Mechanical General,311 Crumpled filter paper,-,003c64cf-0d76-4004-b3f5-ca65d0e1659a,IMA T19,2025-10-01 03:24:26.969994+00
